subject_id,nonzero_fraction,nonzero_voxels,shape,outlier_3std,suspicious
OAS1_0001,0.21043090015581925,1193825,"(170, 206, 162)",False,False
OAS1_0002,0.19031206153802765,1079686,"(170, 206, 162)",False,False
OAS1_0003,0.2275555062010421,1290977,"(170, 206, 162)",False,False
OAS1_0010,0.24425672102713794,1385727,"(170, 206, 162)",False,False
OAS1_0011,0.21455076816774893,1217198,"(170, 206, 162)",False,False
OAS1_0013,0.24508446672448195,1390423,"(170, 206, 162)",False,False
OAS1_0015,0.2661623692986724,1510003,"(170, 206, 162)",False,False
OAS1_0016,0.23114886731391585,1311363,"(170, 206, 162)",False,False
OAS1_0018,0.25878527966382525,1468151,"(170, 206, 162)",False,False
OAS1_0019,0.23933607603415333,1357811,"(170, 206, 162)",False,False
OAS1_0020,0.20817363622903315,1181019,"(170, 206, 162)",False,False
OAS1_0021,0.2595726604197954,1472618,"(170, 206, 162)",False,False
OAS1_0022,0.22684832652946113,1286965,"(170, 206, 162)",False,False
OAS1_0023,0.22402013664149587,1270920,"(170, 206, 162)",False,False
OAS1_0026,0.20637395914856413,1170809,"(170, 206, 162)",False,False
OAS1_0028,0.2194331634127941,1244897,"(170, 206, 162)",False,False
OAS1_0030,0.22661565525167277,1285645,"(170, 206, 162)",False,False
OAS1_0031,0.21882804182442483,1241464,"(170, 206, 162)",False,False
OAS1_0032,0.24415201895213318,1385133,"(170, 206, 162)",False,False
OAS1_0033,0.20949721852063372,1188528,"(170, 206, 162)",False,False
OAS1_0034,0.23826596442244644,1351740,"(170, 206, 162)",False,False
OAS1_0035,0.21585090706545113,1224574,"(170, 206, 162)",False,False
OAS1_0039,0.22678116913791765,1286584,"(170, 206, 162)",False,False
OAS1_0041,0.21076792097637329,1195737,"(170, 206, 162)",False,False
OAS1_0042,0.2862771537957146,1624119,"(170, 206, 162)",False,False
OAS1_0044,0.22482426267882197,1275482,"(170, 206, 162)",False,False
OAS1_0046,0.22136979926814307,1255884,"(170, 206, 162)",False,False
OAS1_0052,0.22240871177669197,1261778,"(170, 206, 162)",False,False
OAS1_0053,0.21085499643942437,1196231,"(170, 206, 162)",False,False
OAS1_0056,0.21133073869605376,1198930,"(170, 206, 162)",False,False
OAS1_0058,0.24119233453899358,1368342,"(170, 206, 162)",False,False
OAS1_0060,0.2504493023386989,1420859,"(170, 206, 162)",False,False
OAS1_0062,0.2338836361585267,1326878,"(170, 206, 162)",False,False
OAS1_0064,0.25382303586663,1439999,"(170, 206, 162)",False,False
OAS1_0065,0.20248411842262976,1148741,"(170, 206, 162)",False,False
OAS1_0066,0.2005399031241407,1137711,"(170, 206, 162)",False,False
OAS1_0067,0.23827865558305308,1351812,"(170, 206, 162)",False,False
OAS1_0068,0.23719884933477167,1345686,"(170, 206, 162)",False,False
OAS1_0069,0.2822404833922062,1601218,"(170, 206, 162)",False,False
OAS1_0070,0.22174595116723425,1258018,"(170, 206, 162)",False,False
OAS1_0071,0.2304711240842975,1307518,"(170, 206, 162)",False,False
OAS1_0072,0.23296423207902361,1321662,"(170, 206, 162)",False,False
OAS1_0073,0.2211485852881246,1254629,"(170, 206, 162)",False,False
OAS1_0074,0.2454835332191129,1392687,"(170, 206, 162)",False,False
OAS1_0075,0.2106755575297361,1195213,"(170, 206, 162)",False,False
OAS1_0078,0.22735121376849912,1289818,"(170, 206, 162)",False,False
OAS1_0082,0.21684205145560562,1230197,"(170, 206, 162)",False,False
OAS1_0083,0.1970931954227214,1118157,"(170, 206, 162)",False,False
OAS1_0084,0.22830216948339926,1295213,"(170, 206, 162)",False,False
OAS1_0085,0.20615838568437084,1169586,"(170, 206, 162)",False,False
OAS1_0086,0.22148736876987402,1256551,"(170, 206, 162)",False,False
OAS1_0094,0.22566857739140245,1280272,"(170, 206, 162)",False,False
OAS1_0096,0.2078635841247682,1179260,"(170, 206, 162)",False,False
OAS1_0098,0.24673678532901833,1399797,"(170, 206, 162)",False,False
OAS1_0106,0.19803375143656887,1123493,"(170, 206, 162)",False,False
OAS1_0109,0.21393277915265352,1213692,"(170, 206, 162)",False,False
OAS1_0110,0.2368858007064746,1343910,"(170, 206, 162)",False,False
OAS1_0112,0.2375311109700982,1347571,"(170, 206, 162)",False,False
OAS1_0113,0.2484573189218154,1409558,"(170, 206, 162)",False,False
OAS1_0114,0.22587251729170632,1281429,"(170, 206, 162)",False,False
OAS1_0115,0.28795044806847586,1633612,"(170, 206, 162)",False,False
OAS1_0116,0.21867892068729686,1240618,"(170, 206, 162)",False,False
OAS1_0120,0.2780873010836841,1577656,"(170, 206, 162)",False,False
OAS1_0122,0.21844695447398665,1239302,"(170, 206, 162)",False,False
OAS1_0123,0.21745298982591957,1233663,"(170, 206, 162)",False,False
OAS1_0124,0.2501863132883502,1419367,"(170, 206, 162)",False,False
OAS1_0130,0.23513600693783446,1333983,"(170, 206, 162)",False,False
OAS1_0133,0.2149403162919249,1219408,"(170, 206, 162)",False,False
OAS1_0134,0.21269010300992025,1206642,"(170, 206, 162)",False,False
OAS1_0135,0.2442420909392164,1385644,"(170, 206, 162)",False,False
OAS1_0137,0.22752448336400363,1290801,"(170, 206, 162)",False,False
OAS1_0138,0.26069159774661393,1478966,"(170, 206, 162)",False,False
OAS1_0139,0.2430353730848686,1378798,"(170, 206, 162)",False,False
OAS1_0142,0.24710377138989362,1401879,"(170, 206, 162)",False,False
OAS1_0143,0.24373021412808202,1382740,"(170, 206, 162)",False,False
OAS1_0146,0.24107617516621896,1367683,"(170, 206, 162)",False,False
OAS1_0155,0.22463160381016845,1274389,"(170, 206, 162)",False,False
OAS1_0157,0.22044087681818503,1250614,"(170, 206, 162)",False,False
OAS1_0158,0.24072293786266755,1365679,"(170, 206, 162)",False,False
OAS1_0161,0.21577846169032158,1224163,"(170, 206, 162)",False,False
