subject_id,nonzero_fraction,nonzero_voxels,shape,outlier_3std,suspicious
sub-00001,0.28250911295838005,1602742,"(170, 206, 162)",False,False
sub-00002,0.23453969865544205,1330600,"(170, 206, 162)",False,False
sub-00003,0.2588605452968674,1468578,"(170, 206, 162)",False,False
sub-00004,0.24031118020742998,1363343,"(170, 206, 162)",False,False
sub-00005,0.2390760835078368,1356336,"(170, 206, 162)",False,False
sub-00006,0.27213726195260557,1543900,"(170, 206, 162)",False,False
sub-00007,0.22683616416721308,1286896,"(170, 206, 162)",False,False
sub-00008,0.2622838096043883,1487999,"(170, 206, 162)",False,False
sub-00009,0.2690693501420705,1526495,"(170, 206, 162)",False,False
sub-00010,0.2781005210426494,1577731,"(170, 206, 162)",False,False
sub-00011,0.24350476976119467,1381461,"(170, 206, 162)",False,False
sub-00012,0.22399757457819516,1270792,"(170, 206, 162)",False,False
sub-00013,0.22383382335314564,1269863,"(170, 206, 162)",False,False
sub-00014,0.2437166416368777,1382663,"(170, 206, 162)",False,False
sub-00015,0.221087949743004,1254285,"(170, 206, 162)",False,False
sub-00016,0.28407788142225604,1611642,"(170, 206, 162)",False,False
sub-00017,0.22553126608428342,1279493,"(170, 206, 162)",False,False
sub-00018,0.2800149473669367,1588592,"(170, 206, 162)",False,False
sub-00019,0.2900848545099449,1645721,"(170, 206, 162)",False,False
sub-00020,0.29186373218830863,1655813,"(170, 206, 162)",False,False
sub-00021,0.28458817183831464,1614537,"(170, 206, 162)",False,False
sub-00022,0.29362797977875077,1665822,"(170, 206, 162)",False,False
sub-00023,0.2138924142112796,1213463,"(170, 206, 162)",False,False
sub-00024,0.2578672857132785,1462943,"(170, 206, 162)",False,False
sub-00025,0.25565373578413747,1450385,"(170, 206, 162)",False,False
sub-00026,0.2769112535341357,1570984,"(170, 206, 162)",False,False
sub-00027,0.27824823205082105,1578569,"(170, 206, 162)",False,False
sub-00028,0.22430551148902567,1272539,"(170, 206, 162)",False,False
sub-00029,0.2442387418829452,1385625,"(170, 206, 162)",False,False
sub-00030,0.25549333361535914,1449475,"(170, 206, 162)",False,False
sub-00031,0.29355042268615467,1665382,"(170, 206, 162)",False,False
sub-00032,0.26738072071690955,1516915,"(170, 206, 162)",False,False
sub-00033,0.23410731786421868,1328147,"(170, 206, 162)",False,False
sub-00034,0.2956014552530829,1677018,"(170, 206, 162)",False,False
sub-00035,0.23940182329674048,1358184,"(170, 206, 162)",False,False
sub-00036,0.22923990523933413,1300533,"(170, 206, 162)",False,False
sub-00037,0.21061033906550755,1194843,"(170, 206, 162)",False,False
sub-00038,0.31332413224189354,1777563,"(170, 206, 162)",False,False
sub-00039,0.2394090502076415,1358225,"(170, 206, 162)",False,False
sub-00040,0.21198591986237142,1202647,"(170, 206, 162)",False,False
sub-00041,0.3005471300350417,1705076,"(170, 206, 162)",False,False
sub-00042,0.22949725377385763,1301993,"(170, 206, 162)",False,False
sub-00043,0.23710437069470003,1345150,"(170, 206, 162)",False,False
sub-00044,0.2855921836551953,1620233,"(170, 206, 162)",False,False
sub-00045,0.2564169680817311,1454715,"(170, 206, 162)",False,False
sub-00046,0.2936376744153253,1665877,"(170, 206, 162)",False,False
sub-00047,0.26889696187716366,1525517,"(170, 206, 162)",False,False
sub-00048,0.24359695694171232,1381984,"(170, 206, 162)",False,False
sub-00049,0.28274407569572235,1604075,"(170, 206, 162)",False,False
sub-00050,0.3109232114276851,1763942,"(170, 206, 162)",False,False
sub-00051,0.25469766835177077,1444961,"(170, 206, 162)",False,False
sub-00052,0.24170650280968195,1371259,"(170, 206, 162)",False,False
sub-00053,0.26482415691915023,1502411,"(170, 206, 162)",False,False
sub-00054,0.2399547701137269,1361321,"(170, 206, 162)",False,False
sub-00055,0.281914567337183,1599369,"(170, 206, 162)",False,False
sub-00056,0.2377191869196438,1348638,"(170, 206, 162)",False,False
sub-00057,0.22553461514055462,1279512,"(170, 206, 162)",False,False
sub-00058,0.2380579704013932,1350560,"(170, 206, 162)",False,False
sub-00059,0.27376842862279754,1553154,"(170, 206, 162)",False,False
sub-00060,0.213018486790617,1208505,"(170, 206, 162)",False,False
sub-00061,0.19240909956215496,1091583,"(170, 206, 162)",False,False
sub-00062,0.2734211843673104,1551184,"(170, 206, 162)",False,False
