subject,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
OAS1_0001,169342.167,210545.12,29191.158,1151.391,15040.595,53161.552,5698.513,3327.912,4168.857,1361.891,2617.111,2745.523,19061.711,3835.951,1375.043,495.213,3427.342,167652.525,209310.684,24873.096,1078.218,14538.841,50621.47,5725.64,3273.476,4022.228,1368.456,3971.355,1471.533,518.337,3498.289
OAS1_0002,167668.951,203198.361,4415.679,583.932,15114.092,43966.94,6040.823,3374.927,4966.9,1617.744,572.57,1481.062,18454.754,4000.188,1537.752,725.207,3283.81,168761.301,205401.985,4170.484,534.317,15154.682,43384.708,5922.965,3457.536,4880.487,1712.007,3992.531,1495.964,638.165,3188.838
OAS1_0003,190503.531,232183.448,24082.246,1505.888,14351.495,51143.17,5718.001,3133.626,4047.598,1268.259,1415.017,1817.027,17748.452,3088.041,965.915,532.861,3336.692,186501.93,228585.543,21620.884,2498.501,14725.34,50355.485,5607.01,3097.093,3769.343,1271.351,3009.092,854.632,505.154,3120.944
OAS1_0010,212367.437,239264.205,30478.996,761.32,14920.904,46544.422,5930.291,3378.574,4940.986,1209.122,2254.194,2128.475,22388.563,2998.068,992.064,618.751,3765.149,211918.63,238356.547,26516.039,805.449,15102.476,48917.119,5839.211,3371.686,4565.18,1310.722,3058.176,1306.237,556.115,3820.414
OAS1_0011,206393.027,229380.985,10385.688,709.329,15760.865,46523.804,6217.158,3751.157,5012.339,1590.654,666.997,1621.861,18744.389,3847.619,1402.132,737.046,3389.506,207227.637,230480.32,9385.0,548.512,15464.147,46712.152,6000.358,3817.401,4805.126,1641.822,3781.43,1412.482,599.903,3659.128
OAS1_0013,205787.06,237723.148,44717.646,1423.9,16251.782,51573.372,4858.985,4032.408,4210.07,1479.61,2126.043,2769.207,21102.215,3748.706,1311.258,572.539,3510.192,202957.648,236006.937,42138.979,1465.926,16156.456,48370.633,4780.786,3501.422,3869.13,1340.228,3622.768,1466.525,441.463,3384.468
OAS1_0015,237633.751,258808.869,31360.211,1613.017,17784.309,58608.188,6817.182,3682.07,5148.115,1542.084,2179.288,2148.967,23499.494,3135.294,1193.435,537.094,4053.946,243156.707,264720.667,27927.88,1511.579,17396.028,57504.936,6951.199,3743.593,5291.474,1728.56,3261.589,1160.174,609.002,4048.515
OAS1_0016,197433.589,226972.846,25131.343,1693.931,17343.279,56763.918,6104.97,3046.273,4373.319,1215.393,2090.836,2462.181,20065.037,3620.169,1248.954,699.462,3823.848,195779.774,226524.82,23855.21,1479.59,17058.954,55339.277,6166.758,3223.604,4323.313,1352.61,3674.139,1406.384,611.081,3751.78
OAS1_0018,259410.67,265546.581,9466.813,811.072,19010.544,53234.984,7634.678,4413.328,5587.929,1948.983,823.006,2095.824,26862.526,4158.851,1869.295,923.486,4234.803,259116.017,269617.697,10430.84,653.705,21186.363,58336.604,7309.397,4108.67,5315.662,2030.28,4444.084,1860.842,911.534,4309.447
OAS1_0019,201498.766,233085.82,29149.442,1565.895,16818.932,52982.967,5933.282,3583.557,4737.8,1439.009,2356.732,3307.271,20785.472,3256.593,1162.806,653.903,4001.841,202893.214,232155.448,27058.723,1647.747,15932.065,50370.496,5967.838,3641.524,4565.975,1413.348,3671.786,1286.641,547.371,3720.584
OAS1_0020,190650.449,221987.263,16918.729,604.876,16163.294,55873.08,6037.909,3106.11,4617.777,1374.676,708.84,1718.998,18988.247,3660.515,1277.306,642.469,3329.551,187652.628,219801.269,10705.312,691.48,15358.307,51706.742,5616.312,3068.821,4432.75,1476.862,3622.176,1534.01,705.063,3197.665
OAS1_0021,218336.316,248994.899,78572.022,2400.525,14134.527,48829.174,6135.826,4273.385,4412.56,1325.75,1675.416,2432.831,23253.012,2878.906,1161.265,433.923,3830.256,216437.815,252145.809,74186.774,2231.795,13742.925,48365.001,6193.933,4079.016,4301.287,1302.695,3154.701,1265.016,442.271,3699.172
OAS1_0022,211727.714,232159.374,11232.583,687.194,15941.684,48967.826,6029.278,3795.187,5131.094,1667.112,1551.198,1752.091,21227.52,3851.03,1432.526,677.013,3913.359,211920.855,230831.525,9938.408,725.787,15990.643,47981.778,5839.182,3848.062,4807.414,1609.059,3348.508,1428.447,719.372,3793.947
OAS1_0023,184334.629,225404.907,18496.513,1301.481,13582.854,45800.62,5370.552,2654.358,4103.914,1159.924,1741.242,1822.682,21223.924,2463.739,1235.455,541.875,3345.008,187014.019,228986.208,18789.155,998.241,13399.366,46093.2,5392.588,2644.947,4064.337,1230.206,3302.526,1378.485,488.547,3446.168
OAS1_0026,186611.302,210313.837,9044.043,470.836,17307.682,53784.586,6298.875,3616.956,4944.203,1575.0,755.819,2544.321,20392.972,3693.564,1344.357,691.475,3730.127,188085.405,213768.253,9124.407,529.93,17554.538,53547.293,6197.084,3575.019,5209.296,1671.541,3731.728,1535.313,613.788,3570.529
OAS1_0028,182743.427,217706.972,25462.969,1801.568,15602.273,47584.475,5460.203,3135.865,4391.937,1380.519,2776.943,1938.386,19978.572,3233.526,1235.505,610.748,3947.373,182433.999,214833.761,21027.324,1557.304,15313.877,44082.682,5497.478,3265.641,4102.894,1392.411,3417.078,1489.51,612.868,3639.165
OAS1_0030,197434.224,239950.172,11750.684,574.914,13236.717,49256.044,5982.692,3714.616,4810.632,1571.275,1015.159,2348.961,19714.302,3678.375,1326.758,663.156,3254.504,195996.905,240580.912,10987.18,735.956,13189.091,49912.762,5586.465,3628.736,4567.588,1519.433,3996.308,1495.849,600.188,3347.759
OAS1_0031,174542.795,207310.536,46565.959,5083.806,9912.452,41364.513,4683.011,3499.049,3898.805,773.451,1952.662,2479.087,16865.844,2232.279,670.177,247.286,2193.244,172377.352,204369.206,38930.599,5345.463,10919.264,41749.609,4479.655,3489.468,3623.237,845.174,2953.048,800.321,306.354,2799.541
OAS1_0032,197243.77,243139.017,31691.054,2207.661,14047.912,45521.003,5454.435,3533.157,4529.963,1363.84,2929.671,2419.261,20554.49,2802.007,1234.965,572.427,3896.974,202293.903,246991.133,30803.868,2244.25,14517.579,44207.949,5607.602,3748.411,4466.078,1463.462,3676.815,1289.419,454.793,3832.474
OAS1_0033,183769.762,206170.605,14623.507,950.611,14299.741,43980.522,5511.261,3190.563,5327.033,1470.956,1257.114,1914.202,18759.978,3228.409,1075.158,608.861,3457.647,185583.805,211382.06,12187.194,1330.653,14236.715,43478.073,5454.386,3382.242,4958.287,1570.475,3680.981,1306.307,560.399,3375.076
OAS1_0034,233681.659,267223.411,6211.808,667.297,16486.9,52429.008,6796.913,3686.574,5298.427,1520.951,839.391,1902.849,21349.02,4504.864,1750.067,731.819,3855.648,235626.33,268521.129,5134.078,779.337,16627.321,54891.891,6475.32,3720.836,5012.253,1710.606,4677.228,1797.141,725.801,3715.671
OAS1_0035,176403.849,217920.093,30512.206,750.518,14676.479,42356.461,5025.556,3079.986,4085.865,1330.049,1925.96,1778.869,18424.339,3120.532,953.686,567.97,3207.415,177837.475,219032.925,23203.787,1110.391,14472.896,40624.05,4826.404,3202.142,4129.53,1309.939,3118.201,1124.393,564.358,3139.95
OAS1_0039,197210.865,225608.744,34380.259,1828.919,14780.121,49608.268,5861.819,4227.687,5127.224,1548.494,1861.81,2165.58,22219.154,3381.672,1447.103,546.537,4175.976,199335.201,225726.295,33181.187,1671.166,14426.168,49639.058,5612.664,4184.785,4853.611,1634.281,3451.579,1449.646,504.233,4278.553
OAS1_0041,189339.653,208369.963,20431.562,4191.807,14739.225,48442.087,5885.008,3372.865,4316.025,1410.04,2096.316,1735.288,20242.632,3588.301,1087.932,437.986,3915.394,200746.925,221132.059,20908.219,1490.762,15328.051,47454.462,6054.615,3653.328,4569.114,1413.054,3548.506,1145.136,418.045,3553.047
OAS1_0042,258302.189,279223.635,23385.429,2647.576,17536.782,56924.433,6960.65,4403.572,6107.258,1670.454,2158.881,3039.409,23133.254,3624.204,1637.051,922.08,4189.447,258862.387,278887.348,26215.614,2717.643,18643.882,54208.969,7140.003,4530.662,5597.794,1680.416,3756.084,1585.492,821.126,3941.316
OAS1_0044,207653.644,241607.266,4189.28,739.887,15616.972,49933.665,6960.832,3441.525,5175.827,1512.33,650.648,1247.732,21496.712,4664.369,1757.96,701.505,3661.334,206715.823,242747.229,3532.455,561.256,15161.391,47890.163,6486.219,3277.733,5059.266,1642.843,4510.012,1716.119,744.614,3525.707
OAS1_0046,201892.774,221307.876,10098.116,1684.531,14133.164,46877.545,5694.362,3269.225,4573.797,1574.956,900.01,1723.154,19448.215,3416.771,1361.288,612.979,3578.59,207740.764,232890.787,9487.646,1064.696,13622.135,44626.261,5607.901,3223.209,4493.217,1464.07,4136.77,1705.618,650.706,3572.222
OAS1_0052,184579.123,226778.869,19867.458,1170.518,13305.629,42328.266,4992.554,3858.889,4734.9,1423.317,2019.932,2820.923,18680.424,3156.965,1145.869,617.209,3236.175,183678.058,227618.348,18298.46,1250.703,13979.194,43746.966,5092.766,3906.391,4695.185,1493.299,3469.348,1315.714,632.949,3177.786
OAS1_0053,166949.559,202420.17,18742.387,1098.426,14734.905,48603.43,4930.568,3257.17,4356.979,1358.782,1626.403,1795.246,19287.897,2852.58,1108.988,584.914,3112.016,168307.27,205500.76,18415.75,1166.288,15192.185,48759.53,4968.914,3244.178,4255.665,1438.036,3132.641,1209.793,543.135,3085.006
OAS1_0056,164899.982,190774.58,21777.159,1644.151,13373.928,51695.921,4983.156,3116.5,4719.552,1248.406,1421.416,2357.759,17719.714,2713.955,1063.191,570.361,3457.321,168678.456,204060.81,18372.849,1164.874,13931.155,46813.973,5020.132,3244.218,4718.379,1283.255,2771.951,1082.644,507.553,3299.176
OAS1_0058,243228.584,268360.022,9004.135,806.76,19163.346,55069.649,7053.778,4147.68,5700.489,1898.981,956.103,1403.7,23096.646,4437.609,1699.674,861.479,4130.544,239338.844,265860.537,10302.181,1158.432,18497.032,51581.947,6698.788,4233.096,5119.02,1861.59,4618.823,1948.018,798.944,4034.626
OAS1_0060,210845.994,247345.909,16272.221,1208.435,17013.251,55510.947,6178.538,3533.112,5045.716,1707.776,1903.258,1957.063,24093.419,3382.768,1357.605,733.975,4075.929,213004.445,248165.68,17979.578,1279.411,16515.243,54398.018,6150.672,3343.114,4806.807,1597.824,3530.979,1245.217,576.387,4034.384
OAS1_0062,205865.601,242008.002,16449.684,1054.006,15182.364,53576.4,5584.308,3568.539,4999.32,1105.368,1651.239,1539.208,19692.824,3582.324,1609.009,698.734,3526.662,203740.108,244768.633,15798.908,1270.747,14884.317,52183.702,5451.143,3567.038,4289.89,1160.817,3461.384,1606.496,628.211,3514.145
OAS1_0064,230775.004,262042.354,18818.723,1010.899,15595.329,49338.884,6556.706,3647.997,4515.224,1402.913,2118.233,1761.174,19928.432,4068.7,1578.164,637.736,3777.067,229771.481,263317.937,17462.054,1074.239,15258.376,49281.245,6559.585,3733.186,4159.907,1336.534,4278.678,1644.208,580.858,3783.905
OAS1_0065,157581.973,203669.631,27210.386,2518.837,9950.944,37113.898,3953.988,1929.858,2731.81,836.538,3557.619,2363.32,14988.054,2974.834,1060.88,307.197,2847.702,155635.214,203680.373,22158.747,1825.041,10380.917,37558.782,4056.486,1851.105,2727.182,900.132,2937.538,1138.759,347.865,2904.76
OAS1_0066,192558.357,213550.472,10669.79,630.774,13600.072,42473.191,5546.33,3487.151,4635.681,1495.817,1078.913,1480.8,17945.058,3184.585,1184.201,726.979,3255.631,189830.608,214415.471,10137.799,673.355,13703.809,40575.407,5316.413,3516.221,4482.021,1504.362,3165.123,1246.126,680.351,3050.504
OAS1_0067,214916.524,251188.743,20014.901,988.117,14367.551,45223.289,5981.61,3147.541,4433.738,1390.899,1605.961,1616.67,19013.443,3822.727,1547.372,505.724,3567.847,211338.148,249229.183,20265.992,825.591,14831.263,45188.463,5633.368,3061.716,3972.545,1168.849,3780.455,1401.897,355.377,3436.936
OAS1_0068,219404.775,248848.564,6258.124,744.555,18712.97,53673.664,7468.434,4058.627,5493.411,1846.428,742.691,1902.517,25630.471,4242.711,1734.456,699.189,3789.517,220276.338,248868.89,6482.137,658.176,18781.336,54462.856,6498.364,3978.431,5019.954,1866.094,4272.483,1873.625,712.435,3678.129
OAS1_0069,250403.869,304823.057,13512.146,694.165,18777.7,60778.557,7732.407,4701.845,5337.874,1791.516,1267.305,2845.464,24696.186,4119.914,2008.416,847.312,4165.43,250521.198,303586.907,12205.506,800.047,19429.705,60381.779,7149.073,4630.275,5189.32,1855.649,4406.541,2064.565,783.584,4076.815
OAS1_0070,193469.521,228261.849,11744.012,659.788,17990.39,59726.597,5636.514,3883.145,4056.842,1413.452,1132.615,1964.108,21018.75,3862.58,1420.463,655.92,3774.775,193273.907,229447.61,10121.758,558.902,18655.038,59108.668,5483.038,3922.924,4089.191,1414.956,3821.604,1515.615,678.044,3611.3
OAS1_0071,220001.073,245337.376,12722.288,677.395,18651.279,51786.106,6573.341,4200.783,5210.062,1809.451,736.153,1518.572,21932.883,4320.006,1600.986,713.862,3627.427,217143.686,244919.688,11562.991,652.393,18856.899,50961.367,6223.654,4260.026,4703.352,1835.5,4363.607,1677.412,656.685,3595.854
OAS1_0072,219197.194,244832.299,9020.726,634.996,17689.577,56674.985,6603.822,4041.931,5619.761,1678.234,690.954,1572.065,21596.791,3582.495,1571.893,736.997,3763.949,222167.811,247354.746,5844.58,517.076,17946.875,57508.504,6465.314,4029.747,5494.899,1774.698,4073.226,1596.168,758.582,3723.55
OAS1_0073,181587.103,217073.21,30497.626,1758.578,13109.807,43329.349,5552.36,3433.233,4852.712,1485.37,2128.233,3198.043,19072.65,3237.773,1070.771,564.027,3831.819,182645.859,208870.383,44750.424,3079.908,12686.353,41844.165,5225.344,3465.111,4818.703,1446.198,2820.868,963.062,348.712,3715.513
OAS1_0074,243850.245,265303.377,7177.753,980.32,17424.41,53049.609,7932.443,4366.004,5691.37,1720.372,788.499,2031.718,22968.704,4368.637,1860.717,746.798,4221.151,248548.746,271940.878,6508.881,635.084,17742.337,53823.283,7368.466,4180.16,5396.555,1773.461,4630.561,1871.94,765.29,4149.768
OAS1_0075,175293.764,214792.727,22715.077,1000.457,12620.293,43834.606,6019.256,3793.049,4433.602,1354.242,1408.464,1753.795,17561.128,2917.986,1194.549,567.016,3334.808,176575.095,212851.944,18199.659,855.778,12616.135,43621.169,5712.055,3530.291,4148.691,1484.951,2857.469,1386.859,527.707,2935.817
OAS1_0078,207369.96,243252.593,12594.725,693.99,16036.0,51370.26,5888.609,3274.147,4830.672,1540.869,1043.838,2244.93,20789.132,3900.172,1463.243,576.521,3705.637,205379.113,239928.767,11500.47,634.228,15889.38,47251.816,5742.913,3306.018,4647.011,1583.984,3938.415,1548.978,524.709,3789.732
OAS1_0082,202154.175,236946.211,13822.111,622.385,15140.492,47472.087,6057.217,3690.138,4423.131,1374.071,1411.588,1739.69,20974.077,3367.761,1069.827,609.288,3438.206,200045.673,236183.994,14840.678,759.306,15789.414,48454.866,6195.172,3509.86,4805.357,1349.798,3200.418,1022.413,650.581,3540.78
OAS1_0083,161889.414,200201.457,15492.117,929.059,14156.675,40629.177,5474.235,3758.997,4562.885,1323.158,1430.506,2262.655,18374.237,3605.951,1333.758,592.716,3422.445,159985.484,198565.625,16803.18,958.587,14800.145,41795.581,4616.466,3355.581,3896.513,856.641,3316.107,1273.931,498.396,3200.826
OAS1_0084,194130.482,234613.951,25929.815,1437.463,14121.914,46419.018,5499.37,3213.773,4557.06,1591.505,1705.09,1990.556,19360.547,3285.384,1294.285,602.842,3477.761,195939.831,235928.941,24625.301,1521.248,13813.829,46857.499,5421.796,3182.098,4354.524,1425.672,3168.559,1244.922,602.55,3489.988
OAS1_0085,195489.266,208708.018,8139.985,746.235,13250.358,45722.942,5515.193,4151.86,5944.078,1538.167,1096.513,2263.366,19499.906,3642.805,1364.435,623.935,3412.02,197978.826,211164.107,8047.994,722.86,13986.874,47198.286,5606.32,4122.601,5743.354,1648.55,3781.206,1353.791,637.875,3212.132
OAS1_0086,207597.779,238633.632,6612.237,737.608,17838.92,51140.317,6069.983,3449.293,4673.827,1559.508,592.339,1455.797,21885.431,4218.958,1614.136,677.106,3534.216,205174.338,236215.634,6313.976,658.842,17991.252,47524.36,5849.097,3591.818,4505.971,1519.163,4209.138,1730.509,782.023,3441.037
OAS1_0094,209544.061,236867.64,14209.177,663.257,16168.474,47272.188,5900.385,4100.54,4967.755,1503.573,1017.926,2167.79,19806.793,3562.312,1508.559,623.303,3492.599,209725.444,237183.002,12705.742,713.5,16616.322,46544.394,5684.389,4047.007,4788.465,1529.935,3719.789,1548.71,592.768,3197.039
OAS1_0096,180371.86,225099.377,17389.752,574.891,14745.021,46465.086,6108.624,3663.025,4964.216,1502.966,784.066,1551.356,17645.487,3780.378,1378.419,676.32,3204.796,183837.116,226894.685,20462.331,555.171,14784.089,44571.637,5969.785,3848.499,4953.8,1530.254,3742.508,1543.036,575.694,3132.871
OAS1_0098,214194.942,229662.461,50725.342,2079.159,16751.743,52164.645,5982.64,3819.88,4932.616,1565.608,2361.27,2244.197,21277.135,3811.183,1496.859,537.714,4055.363,213277.517,226898.159,52741.923,2330.598,16687.828,50116.772,5660.25,3611.872,4149.94,1593.289,3303.918,1269.367,476.077,3924.526
OAS1_0106,161166.675,205651.968,18841.636,816.941,12731.525,41044.879,5380.183,3247.359,4541.08,1402.207,1385.856,1531.355,17452.388,3263.588,1520.462,628.059,3470.009,159079.379,207055.486,20219.928,844.26,12501.554,39312.603,5210.091,3340.57,4426.974,1344.55,3092.729,1431.311,580.379,3345.726
OAS1_0109,188928.631,228936.645,9977.265,715.177,14295.866,50826.595,5663.381,3258.796,4654.776,1563.138,683.114,1529.846,19834.958,3560.773,1267.369,722.599,3409.789,194167.001,236721.136,7330.407,583.919,14377.056,48640.162,5719.63,3342.631,4491.908,1577.533,3644.48,1459.361,730.134,3403.432
OAS1_0110,197026.26,235434.484,25108.611,1746.489,15993.243,48261.526,5704.43,3839.026,4466.19,1184.384,2765.392,1794.898,18476.658,2662.316,691.157,458.027,3240.242,195418.198,230524.633,20291.83,2133.649,15318.37,46291.764,5619.019,3649.332,4078.25,1168.592,3201.409,783.358,383.93,3216.104
OAS1_0112,204894.276,246297.447,20341.543,935.187,15405.204,48582.086,6230.948,4624.458,5185.146,1452.006,1310.652,2021.698,18673.564,4346.393,1660.328,736.883,3632.621,209619.579,250100.935,23315.341,1040.038,14626.387,47345.235,6005.479,4323.226,5035.497,1554.596,4680.229,1789.604,721.904,3514.764
OAS1_0113,222678.832,257670.651,36761.441,1113.796,18777.315,56760.618,6254.82,3698.687,5277.347,1580.769,1844.47,3042.339,23755.372,3805.134,1592.747,671.149,3853.969,223130.402,260157.019,29652.424,988.247,18375.311,53719.705,5936.806,3407.251,4932.103,1668.15,4013.63,1688.164,645.366,3877.638
OAS1_0114,198222.012,244107.409,8868.047,655.988,13260.356,49514.211,6340.209,3050.461,5495.702,1642.17,884.408,1715.401,19041.562,4359.95,1720.829,706.077,3714.86,198427.447,244667.122,8115.482,628.537,13487.828,49217.214,6078.395,3239.743,5296.387,1659.51,4327.02,1812.788,670.217,3645.18
OAS1_0115,239290.568,275705.686,66742.758,3541.645,17044.807,59307.712,5649.04,3744.663,4960.206,1466.845,3483.604,3020.762,22816.195,3217.217,1101.797,506.763,3522.089,237987.811,277778.058,61941.716,3016.853,16675.43,56213.339,6169.014,3658.649,4930.321,1389.518,3362.116,1061.092,388.559,3653.058
OAS1_0116,197331.683,235755.557,10206.132,668.116,15315.291,48964.899,5910.941,3173.455,4748.121,1460.844,1083.881,3030.632,18564.975,4072.386,1461.672,636.302,3491.098,199492.066,235867.582,9804.864,598.56,15523.181,49665.877,5692.638,3165.195,4470.991,1498.569,4066.339,1606.695,587.618,3383.65
OAS1_0120,242243.321,264767.244,33515.475,1857.041,19983.46,57705.06,7219.958,4096.231,5597.123,1796.887,3581.041,4568.585,28299.038,4375.017,1906.791,693.188,4575.005,240054.261,265803.042,36723.029,1681.166,19839.209,56991.752,7165.334,4302.812,5395.687,1846.665,4520.964,2052.196,615.253,4582.692
OAS1_0122,186291.444,215870.164,17719.763,882.669,13757.374,44951.726,5490.436,3253.462,4513.026,1325.449,1235.965,1974.416,19681.292,2648.407,1157.991,700.107,3464.132,187175.012,215615.334,20722.41,936.5,13721.042,43041.944,5374.025,3304.635,4355.346,1379.42,2955.228,1454.577,642.121,3389.085
OAS1_0123,185925.772,219101.59,18445.299,1428.256,14685.348,49311.614,4923.561,3582.08,4639.834,1143.657,2109.982,2675.333,18713.526,3208.755,1484.72,549.502,3222.621,195380.8,228300.761,14199.546,940.08,14439.456,49146.559,5549.504,4160.027,4904.959,1420.458,3661.568,1393.472,522.85,3528.456
OAS1_0124,218858.446,251028.755,33484.482,1235.002,14965.164,51336.919,6226.362,3530.582,4791.939,1456.468,1898.339,2262.594,21636.138,3315.143,1152.482,621.093,3709.158,215373.034,243063.816,50244.992,1720.284,15940.009,53344.805,6133.932,3463.017,4574.768,1431.607,3550.389,1391.932,502.682,3544.704
OAS1_0130,211568.097,243363.266,13071.566,710.416,18820.982,60037.619,6176.554,2843.508,5030.92,1618.695,1754.861,2160.276,21948.504,4404.144,1539.775,572.703,4021.348,210596.679,243139.813,10544.785,627.859,18832.264,57046.743,6077.73,2777.954,4808.615,1560.55,4506.131,1491.366,569.68,3934.485
OAS1_0133,198167.164,225654.365,5686.784,503.195,15056.722,46723.762,6171.765,3759.669,5224.124,1696.445,613.088,1582.099,19262.953,3962.697,1556.617,727.104,3665.926,197926.512,224265.308,6243.751,508.935,14936.916,46909.116,5531.428,3741.268,4860.614,1684.935,3825.498,1756.62,758.96,3514.862
OAS1_0134,178154.222,213301.272,34006.382,2137.176,14622.129,45846.095,5410.095,3606.914,4112.525,1522.611,2172.608,1640.909,20216.455,2726.431,1185.685,487.897,3326.279,177111.923,209165.07,46749.807,2882.661,15272.42,47263.145,5675.081,3239.891,4091.718,1476.657,2613.161,974.855,551.677,3191.92
OAS1_0135,240464.607,267562.213,14704.347,849.001,15057.914,48846.85,6894.967,3518.317,5117.974,1476.046,1165.016,1502.669,20095.715,4264.512,1742.396,750.909,3699.088,241307.302,269798.399,12364.501,887.68,15332.59,48668.668,6836.028,3606.138,4925.521,1618.192,4382.537,1942.835,684.471,3724.575
OAS1_0137,186178.231,217471.883,35608.096,2683.261,14971.094,53035.123,5215.314,3211.804,4323.98,1123.877,2663.722,1736.105,18272.271,2678.549,1009.833,438.654,3099.36,182901.495,216146.152,35401.812,3567.854,14880.544,52170.858,5127.559,3088.665,4161.496,1201.608,2835.331,849.916,383.34,3247.863
OAS1_0138,210937.001,243535.701,31429.552,1924.108,17612.79,59095.462,6624.037,4094.64,5000.64,1409.546,3607.489,2676.971,23977.864,4409.372,1484.197,680.538,4364.369,209906.824,245630.165,32100.116,1736.92,17151.339,56953.715,6626.032,4138.571,4809.467,1450.677,4574.766,1611.32,670.117,4202.947
OAS1_0139,228416.655,259096.89,12046.934,678.341,15966.496,54059.184,5949.114,3646.151,4757.955,1575.778,1077.652,2253.165,19926.179,4014.412,1513.898,720.822,3642.057,225142.01,258019.912,11844.687,624.94,16020.097,50947.477,5945.093,3657.502,4755.092,1626.044,3950.251,1537.53,800.943,3570.209
OAS1_0142,198707.094,248594.122,27141.192,1708.56,15892.102,53021.582,6246.95,3537.686,4841.063,1550.419,1591.798,2258.727,20960.699,3472.1,1341.849,635.705,3978.228,198257.753,243395.385,27786.569,2043.603,15551.321,54268.846,6185.563,3483.64,4325.939,1576.668,3199.912,1233.618,582.963,3942.304
OAS1_0143,200172.692,257851.789,9539.157,997.065,15534.274,50826.099,5916.096,3723.134,5305.849,1611.993,2018.438,2124.776,20676.697,4388.482,1708.126,690.917,4128.069,205798.666,261148.609,8767.882,926.559,17100.101,54774.197,5651.762,3652.152,4720.476,1593.196,4519.46,1750.677,679.453,3591.797
OAS1_0146,200360.282,251085.014,23806.335,852.789,14599.46,51438.262,5549.28,3671.18,4857.441,1413.303,1729.841,1989.238,20010.158,3641.821,1290.085,646.869,3548.827,198462.473,250301.627,19800.848,892.543,15038.831,48384.684,5231.984,3693.919,4426.589,1495.1,3819.095,1455.623,671.851,3386.016
OAS1_0155,183528.328,226463.504,15855.912,673.051,16566.826,57939.234,5487.638,3181.951,4593.838,1403.785,1307.922,2181.731,20495.102,3376.189,1245.394,671.673,3284.501,180842.199,224246.923,18647.502,1150.537,15997.329,58318.126,5225.457,3233.312,3835.326,1356.14,3284.205,1056.586,625.236,3163.731
OAS1_0157,200562.144,227543.267,11970.824,1013.933,13051.762,48698.918,5053.049,3293.644,4874.361,1381.98,1395.898,1981.193,18008.292,3475.553,1359.07,608.587,3518.712,202207.84,232224.546,12115.415,1297.287,13244.67,50712.198,5002.299,3147.987,4612.726,1518.111,3813.392,1380.029,539.159,3448.896
